T2-SO-3T:[2130444, 2131483, 2131488, 2129977, 2129977, 2128485, 2127919, 2128202, 2128779, 2128779, 2128974, 2129081, 2129371, 2129662, 2129662, 2130145, 2130925, 2131427, 2130929, 2130929, 2129111, 2127793, 2127434, 2128313, 2128313, 2129105, 2129566, 2129802, 2130325, 2130325, 2131068, 2132008, 2132819, 2133423, 2133423, 2132569, 2130523, 2129088, 2128779, 2128779]
FI-MI-3T:[2132791, 2132840, 2131481, 2131481, 2130527, 2130309, 2130836, 2131780, 2131780, 2132619, 2132957, 2133054, 2132676, 2132676, 2131508, 2132379, 2133841, 2136042, 2136042, 2137026, 2136195, 2135630, 2136680, 2136680, 2138030, 2139541, 2140021, 2139999, 2139999, 2139938, 2140164, 2140260, 2140990, 2140990, 2141743, 2142153, 2141341, 2139924, 2139924, 2138996]
LT-MI-3T:[2141361, 2141361, 2144108, 2144862, 2146633, 2146633, 2149879, 2154265, 2154262, 2157506, 2157506, 2162280, 2164002, 2166323, 2168033, 2168033, 2169477, 2170486, 2171208, 2170492, 2170492, 2168618, 2167290, 2166813, 2166659, 2166659, 2166465, 2165889, 2165508, 2164970, 2164970, 2163892, 2163562, 2163832, 2163650, 2163650, 2161464, 2158713, 2157370, 2156817]
T3-MI-3T:[2152858, 2152858, 2152827, 2151182, 2148098, 2145876, 2145876, 2145240, 2145266, 2147029, 2148000, 2148000, 2149936, 2151568, 2153262, 2155807, 2155807, 2158702, 2160548, 2159361, 2157941, 2157941, 2157163, 2157335, 2158435, 2161361, 2161361, 2163078, 2164216, 2166344, 2170028, 2172031, 2172031, 2172465, 2173463, 2173134, 2173261, 2173261, 2172909, 2173254]
PS-SO-3T:[2163674, 2163773, 2163773, 2163803, 2163741, 2162599, 2160626, 2160626, 2159483, 2159902, 2161062, 2156107, 2156107, 2156599, 2164320, 2167974, 2168532, 2168532, 2169292, 2171003, 2173386, 2175526, 2175526, 2175127, 2174101, 2172134, 2172796, 2172796, 2174765, 2175465, 2176416, 2176917, 2176917, 2177078, 2177899, 2177980, 2178279, 2178279, 2179260, 2180061]
LP-MI-3T:[2163234, 2163398, 2163819, 2163819, 2164687, 2165407, 2164653, 2160397, 2160397, 2161889, 2162827, 2166612, 2169911, 2169911, 2171819, 2172520, 2173697, 2175174, 2175174, 2177057, 2178883, 2181263, 2183070, 2183070, 2183500, 2183027, 2182239, 2184326, 2184326, 2185347, 2185808, 2186483, 2186574, 2186574, 2187986, 2189729, 2190673, 2191902, 2191902, 2192732]
PD-MI-3T:[2187132, 2187174, 2187174, 2187678, 2188693, 2189354, 2189336, 2189336, 2189320, 2188015, 2184547, 2183048, 2183048, 2181899, 2180730, 2181044, 2181407, 2181407, 2181673, 2182437, 2184212, 2185911, 2185911, 2187719, 2189605, 2189941, 2188767, 2188767, 2187515, 2187032, 2187701, 2188424, 2188424, 2188732, 2188913, 2188811, 2189827, 2189827, 2190810, 2191166]
WT-SO-3T:[2179427, 2179049, 2179823, 2180318, 2181247, 2181247, 2181978, 2182592, 2181142, 2179015, 2179015, 2176824, 2176398, 2176486, 2176482, 2176482, 2176217, 2175771, 2175760, 2176098, 2176098, 2176777, 2177410, 2178135, 2176877, 2176877, 2174108, 2171406, 2170059, 2169716, 2169716, 2169750, 2169598, 2169204, 2169212, 2169212, 2169923, 2170408, 2171349, 2172144]
T2-HR-3T:[2168320, 2168436, 2168240, 2169099, 2169099, 2170145, 2170954, 2171974, 2173536, 2173536, 2174422, 2172747, 2170742, 2169486, 2169486, 2168164, 2167590, 2166767, 2166006, 2166006, 2165540, 2165159, 2164936, 2164734, 2164734, 2164336, 2164737, 2164484, 2163329, 2163329, 2161221, 2159525, 2159330, 2159775, 2159775, 2160533, 2160907, 2161054, 2161106, 2161106]
TP-MI-3T:[2164599, 2163864, 2162810, 2162284, 2162284, 2162634, 2162632, 2162931, 2163192, 2163192, 2165227, 2166797, 2168234, 2170756, 2170756, 2169886, 2169523, 2168594, 2168073, 2168073, 2169080, 2170071, 2171364, 2171783, 2171783, 2172511, 2174238, 2175307, 2176497, 2176497, 2177567, 2178664, 2177653, 2175500, 2175500, 2174114, 2173429, 2173781, 2173815, 2173815]
T3-SO-3T:[2163709, 2163653, 2164010, 2163753, 2163141, 2163141, 2162174, 2162501, 2163088, 2164460, 2164460, 2165514, 2167024, 2167699, 2167383, 2167383, 2167296, 2168054, 2169201, 2170470, 2170470, 2171079, 2172379, 2173582, 2174858, 2174858, 2176141, 2176953, 2178382, 2178723, 2178723, 2177018, 2175599, 2175568, 2175576, 2175576, 2176075, 2176705, 2176239, 2176538]
WT-HR-3T:[2169791, 2168788, 2169874, 2169874, 2170343, 2170395, 2171510, 2171605, 2171605, 2170016, 2167759, 2166212, 2165310, 2165310, 2165146, 2165273, 2164718, 2164883, 2164883, 2163949, 2164329, 2164710, 2164287, 2164287, 2164368, 2162550, 2160421, 2158902, 2158902, 2157386, 2157807, 2157853, 2157975, 2157975, 2158360, 2158224, 2158771, 2159628, 2159628, 2160570]
