2197040,2195219,2197091,2197884,2198378,2198378,2198344,2198787,2199618,2201036,2201036,2202015,2203232,2203699,2203282,2203282,2201726,2200768,2200914,2201244,2201244,2201961,2201988,2202187,2202920,2202920,2204163,2205066,2206376,2207110,2207110,2207026,2204661,2203249,2203249,2203249,2203356,2203197,2203929,2204215,R
2211905,2211905,2210191,2210402,2210253,2208807,2208807,2208665,2207236,2205463,2204720,2204720,2203891,2204670,2206158,2207444,2207444,2207310,2205792,2205024,2203349,2203349,2201231,2202376,2203240,2205108,2205108,2207137,2209623,2213180,2214599,2214599,2217623,2219379,2222180,2224510,2224510,2226689,2229534,2232202,R
2238701,2238531,2238816,2239355,2239355,2240030,2240738,2240486,2238602,2238602,2237387,2236032,2235731,2235485,2235485,2235156,2234357,2234161,2234345,2234345,2235514,2236563,2238405,2237234,2237234,2234624,2232256,2231021,2230437,2230437,2230729,2230302,2229880,2230157,2230157,2230362,2231365,2232051,2232998,2232998,R
2222362,2220662,2217816,2217816,2216476,2215880,2215888,2215382,2215382,2214851,2214009,2213537,2213323,2213323,2213016,2213082,2210720,2210720,2210720,2208528,2206865,2204996,2204996,2204996,2204388,2203561,2202991,2202728,2202728,2202802,2202756,2202661,2201406,2201406,2199474,2197453,2196882,2196516,2196516,2196430,R
2201078,2201078,2202127,2203676,2203970,2203826,2203826,2202739,2202871,2204225,2204482,2204482,2205736,2206258,2206322,2206129,2205987,2205987,2206050,2206059,2206023,2205319,2205319,2203883,2202900,2202955,2203388,2203388,2203757,2203969,2204299,2204776,2204776,2205576,2206319,2206977,2206899,2206899,2205713,2204790,R
2202437,2203124,2203124,2202909,2203708,2204482,2204709,2204709,2205170,2205524,2205928,2204902,2204902,2203228,2201909,2201433,2201926,2201926,2202135,2202615,2203098,2203754,2203754,2203967,2204180,2204845,2204294,2204294,2203259,2200816,2200816,2200656,2200656,2200802,2200698,2200978,2200956,2200956,2201281,2202737,R
2225179,2226333,2226333,2227514,2228947,2229849,2231701,2231701,2232243,2232248,2231688,2232235,2232235,2232521,2232789,2235476,2235036,2235036,2234631,2236686,2237476,2237476,2238412,2238872,2239775,2237827,2237827,2237010,2237217,2236601,2237728,2237728,2238073,2237566,2238629,2240634,2240634,2243871,2244606,2241998,R
2223288,2223996,2224557,2224557,2226139,2229579,2230601,2230601,2228629,2226616,2226021,2226396,2226396,2227535,2228594,2227895,2227796,2227796,2228252,2228730,2229309,2226992,2226992,2223882,2222914,2222939,2222663,2222663,2222687,2223204,2223714,2224111,2224111,2224440,2226430,2226430,2224902,2224902,2223601,2223436,R
2245308,2245393,2246461,2248627,2248627,2248934,2249565,2250847,2251990,2251990,2252889,2254730,2255952,2256653,2256653,2255164,2254659,2254867,2256084,2256084,2257162,2258514,2259406,2260588,2260588,2261155,2262222,2262395,2261693,2261693,2260397,2259681,2259553,2259907,2259907,2260191,2260026,2260437,2260469,2260469,R
2219027,2219771,2218107,2216684,2216684,2215930,2216498,2216757,2217426,2217426,2217639,2218179,2218808,2219464,2219464,2220495,2220782,2220782,2219429,2219429,2218052,2218130,2218127,2218864,2218864,2219008,2219114,2220152,2221176,2221176,2222718,2223990,2224710,2223435,2222364,2222364,2222310,2222660,2223592,2223592,R
2209733,2209664,2209708,2210919,2210919,2212629,2214056,2214772,2216897,2216897,2218951,2220893,2221067,2221423,2221423,2221815,2222274,2223436,2225686,2225686,2225449,2225603,2224866,2225451,2225451,2225827,2226680,2227515,2227911,2227911,2226193,2224619,2224870,2224680,2224680,2225241,2225628,2225167,2225422,2225422,R
2219269,2217208,2217208,2215955,2216177,2216293,2216492,2216492,2216369,2216369,2217149,2217626,2217626,2217422,2217993,2218510,2217065,2217065,2213658,2213658,2213562,2213848,2213848,2213813,2213930,2214537,2214406,2214406,2215330,2216228,2217425,2218463,2218463,2217152,2215200,2213969,2213432,2213432,2213567,2214108,R
2217291,2216692,2218301,2218301,2221483,2220655,2220420,2220674,2220674,2220248,2220253,2222004,2222045,2222045,2224382,2222813,2221198,2219948,2219907,2219907,2219719,2220639,2220188,2220188,2220109,2220860,2220276,2221228,2221228,2221667,2222334,2222257,2220612,2219231,2219231,2218251,2218292,2217911,2217911,2217735,R
2198818,2198818,2199013,2199589,2199517,2200280,2200280,2201427,2202528,2202773,2203181,2203181,2201014,2198446,2197211,2196658,2196658,2196813,2196228,2195980,2195115,2195115,2195196,2196520,2198349,2199699,2200908,2200908,2198127,2196595,2196395,2195700,2195700,2196717,2195293,2195012,2195012,2195038,2194841,2197110,R
2195399,2195399,2195206,2196214,2196524,2196534,2196534,2194985,2193139,2193936,2193657,2193657,2194613,2195092,2194724,2194160,2194160,2194963,2195182,2195458,2195911,2195911,2194878,2192394,2190505,2190586,2190586,2191003,2192211,2193110,2193039,2193039,2194286,2194329,2194913,2196159,2196159,2196859,2197331,2196118,R
2205432,2205432,2203606,2200719,2199377,2198462,2198462,2196095,2194962,2196167,2196162,2196162,2196822,2197352,2198005,2198273,2198273,2198476,2197550,2196581,2197284,2196486,2196486,2196883,2197654,2197481,2197481,2197531,2198833,2199724,2200731,2200731,2201423,2201282,2199853,2199814,2199814,2200228,2201024,2201378,R
2237473,2237929,2237929,2238696,2238749,2238832,2238116,2238116,2239429,2240735,2241700,2242381,2242381,2240198,2238315,2236888,2236933,2236933,2237261,2236928,2236561,2236635,2236635,2237239,2238145,2238386,2238386,2239275,2238375,2236200,2234394,2234394,2233193,2233109,2232697,2232019,2232019,2232327,2231896,2232190,R
2221657,2221657,2222897,2222730,2221658,2221966,2221966,2222515,2222866,2223244,2223169,2223169,2223234,2224338,2224482,2224837,2224837,2225615,2226225,2225675,2224133,2224133,2223618,2223628,2224150,2224624,2224624,2224845,2224903,2225424,2226331,2226331,2226947,2227884,2228173,2227721,2227721,2226367,2225712,2224874,R
