T3-RE-3T:[3140086, 3140599, 3141223, 3141223, 3141952, 3142768, 3143835, 3145147, 3145147, 3146255, 3147693, 3146943, 3144534, 3144534, 3142321, 3140776, 3139788, 3139108, 3139108, 3138270, 3136894, 3136894, 3136894, 3136894, 3137013, 3137421, 3138047, 3138609, 3138609, 3139505, 3141612, 3141612, 3142675, 3142675, 3143598, 3141962, 3139105, 3136409, 3136409, 3134212, 3132799, 3131412, 3130178]
LT-RE-3T:[3216073, 3217025, 3215900, 3213341, 3213341, 3213341, 3213269, 3213158, 3213252, 3213467, 3213467, 3213781, 3214274, 3215286, 3216130, 3216130, 3217269, 3218564, 3219832, 3221345, 3221345, 3222866, 3224018, 3225508, 3225263, 3225263, 3223673, 3222455, 3221518, 3221518, 3221518, 3221458, 3221475, 3221277, 3221156, 3221156, 3221716, 3222434, 3223150, 3224185, 3224185, 3225143, 3226365]
MW-RE-3T:[3224067, 3225588, 3227311, 3228819, 3230079, 3230079, 3231884, 3232160, 3229890, 3229890, 3227559, 3226030, 3224228, 3224228, 3224228, 3224105, 3223730, 3223739, 3224203, 3224203, 3229355, 3229355, 3229355, 3229355, 3229355, 3230656, 3232324, 3234194, 3236153, 3236153, 3239834, 3239834, 3241122, 3240792, 3240792, 3239992, 3239571, 3239099, 3238648, 3238648, 3239115, 3239619, 3239809]
PS-RE-3T:[3263113, 3262726, 3262147, 3262067, 3261820, 3261820, 3261751, 3262207, 3262611, 3263158, 3263158, 3261693, 3258254, 3254153, 3251053, 3251053, 3248072, 3245614, 3243464, 3241414, 3241414, 3239530, 3237516, 3237516, 3237516, 3237516, 3237455, 3237509, 3237748, 3238508, 3238508, 3239101, 3240000, 3240949, 3242226, 3242226, 3241380, 3238396, 3235568, 3233442, 3233442, 3231505, 3230031]
FI-RE-3T:[3239771, 3240436, 3241239, 3241738, 3241738, 3242890, 3243783, 3242814, 3240186, 3240186, 3237234, 3235199, 3233458, 3232157, 3232157, 3230582, 3229274, 3228094, 3227592, 3227592, 3227329, 3227343, 3227215, 3227627, 3227627, 3227941, 3228291, 3228834, 3228728, 3228728, 3225304, 3220833, 3216818, 3213359, 3213359, 3210464, 3208125, 3205754, 3203732, 3203732, 3202352, 3201276, 3200756]
TP-RE-3T:[3168114, 3166386, 3166386, 3164837, 3164023, 3163643, 3163255, 3163255, 3163262, 3163511, 3164323, 3165189, 3165189, 3166535, 3167759, 3169158, 3170807, 3170807, 3177285, 3177285, 3177285, 3177285, 3177285, 3178032, 3175822, 3173395, 3171558, 3171558, 3170189, 3169541, 3168805, 3168323, 3168323, 3168131, 3168365, 3168899, 3169836, 3169836, 3170703, 3171838, 3173235, 3174460, 3174460]
WT-RE-3T:[3167170, 3153982, 3153982, 3153982, 3151620, 3151620, 3149747, 3147855, 3146116, 3146116, 3145169, 3144861, 3144864, 3145478, 3145478, 3146300, 3147100, 3148254, 3149576, 3149576, 3150953, 3152626, 3153733, 3149944, 3149944, 3144790, 3140095, 3133028, 3133028, 3133028, 3130983, 3127855, 3127855, 3127083, 3127083, 3127020, 3127341, 3127882, 3128950, 3128950, 3130007, 3131543, 3133165]
LP-RE-3T:[3146951, 3143695, 3143695, 3141882, 3140951, 3140484, 3139854, 3139854, 3139488, 3139704, 3140512, 3141582, 3141582, 3143141, 3144683, 3146540, 3148581, 3148581, 3150520, 3152314, 3150569, 3146268, 3146268, 3143510, 3141210, 3139722, 3139004, 3139004, 3138593, 3138499, 3138828, 3139757, 3139757, 3141273, 3142948, 3144751, 3146543, 3146543, 3148708, 3151023, 3153321, 3153321, 3155390]
PD-RE-3T:[3199347, 3198630, 3198353, 3198146, 3198559, 3198559, 3198768, 3199501, 3200383, 3201270, 3201270, 3202417, 3203542, 3204329, 3202096, 3202096, 3198666, 3196153, 3191492, 3191492, 3191492, 3190002, 3188664, 3187365, 3186718, 3186718, 3186615, 3186645, 3187090, 3187731, 3187731, 3188393, 3189450, 3190472, 3191855, 3191855, 3193152, 3194716, 3194470, 3191533, 3191533, 3188573, 3186613]
T2-RE-3T:[3175555, 3174304, 3174304, 3173260, 3172639, 3172366, 3172465, 3172465, 3173007, 3173943, 3174840, 3176016, 3176016, 3178738, 3178738, 3180252, 3181936, 3181936, 3182134, 3179836, 3177254, 3175264, 3175264, 3172339, 3172339, 3171825, 3171325, 3171325, 3171212, 3171557, 3172274, 3173278, 3173278, 3174287, 3175508, 3176869, 3178600, 3178600, 3180228, 3181937, 3183804, 3185039, 3185039]
LG-RE-3T:[3204525, 3204525, 3204830, 3205462, 3206247, 3207671, 3207671, 3208859, 3210065, 3207764, 3204364, 3204364, 3201496, 3199366, 3197459, 3196265, 3193369, 3193369, 3192968, 3192968, 3192923, 3192923, 3193185, 3193660, 3194332, 3194924, 3194924, 3196066, 3197133, 3198283, 3199678, 3199678, 3200942, 3198557, 3194591, 3190862, 3190862, 3187462, 3184560, 3182710, 3180951, 3180951, 3179297]
PI-RE-3T:[3166342, 3166417, 3166417, 3166740, 3167108, 3168430, 3168430, 3168430, 3169376, 3170534, 3169405, 3166350, 3166350, 3163313, 3160584, 3158569, 3157127, 3157127, 3155973, 3154672, 3153753, 3153716, 3153716, 3154190, 3154717, 3155707, 3156394, 3156394, 3157498, 3158811, 3158902, 3158902, 3158902, 3153510, 3153510, 3151647, 3150179, 3150179, 3149358, 3148746, 3148175, 3148094, 3148094]
IF-RE-3T:[3154445, 3154445, 3153085, 3153085, 3153236, 3153673, 3153673, 3154347, 3154936, 3155776, 3156736, 3156736, 3157872, 3158828, 3159055, 3156011, 3156011, 3152886, 3149627, 3147072, 3145231, 3145231, 3143799, 3142656, 3141681, 3141323, 3141323, 3141375, 3141894, 3142352, 3143483, 3143483, 3144459, 3145576, 3146865, 3148200, 3148200, 3149847, 3151216, 3149645, 3146830, 3146830, 3144782]
TT-RE-3T:[3206427, 3204550, 3202536, 3202536, 3201374, 3200430, 3199590, 3199526, 3199526, 3199138, 3199037, 3199164, 3199502, 3199502, 3199652, 3195750, 3190305, 3184914, 3184914, 3179737, 3175227, 3171744, 3168435, 3168435, 3165292, 3163172, 3161623, 3160516, 3160516, 3159878, 3159602, 3159580, 3159902, 3159902, 3160369, 3161037, 3160633, 3155179, 3155179, 3143703, 3143703, 3138971, 3135410]
LP-RE-2T:[3139629, 3139629, 3139761, 3139818, 3140314, 3136766, 3121954, 3121954, 3121954, 3121954, 3119701, 3118056, 3118056, 3116369, 3114828, 3114310, 3114310, 3114578, 3115318, 3116618, 3118002, 3118002, 3119374, 3121277, 3122091, 3117823, 3117823, 3113337, 3110452, 3108634, 3108030, 3108030, 3107852, 3107490, 3107814, 3108969, 3108969, 3110608, 3112484, 3114668, 3116915, 3116915, 3119312]
