T3-RE-3T:[1694763, 1694524, 1694524, 1695233, 1695489, 1695225, 1694799, 1694799, 1694578, 1694390, 1694525, 1694236, 1694236, 1694285, 1694329, 1694427, 1694407, 1694407, 1694577, 1694645, 1694699, 1695106, 1695106, 1695425, 1695459, 1695687, 1695859, 1695859, 1696098, 1695924, 1695784, 1695525, 1695525, 1695308, 1694921, 1695193, 1695180, 1695180, 1695470, 1695697, 1695633, 1695604, 1695604]
LT-RE-3T:[1693284, 1691827, 1691827, 1691438, 1692771, 1693501, 1693839, 1693839, 1693616, 1694528, 1694712, 1695307, 1695859, 1695859, 1696489, 1696588, 1696390, 1696178, 1696178, 1696166, 1696331, 1696430, 1696430, 1696984, 1696984, 1697221, 1697678, 1697678, 1697779, 1697930, 1698012, 1698292, 1698683, 1698683, 1698508, 1698624, 1698613, 1698613, 1698697, 1698873, 1699054, 1699233, 1699233]
MW-RE-3T:[1697861, 1697922, 1697818, 1698270, 1698806, 1698806, 1698930, 1699218, 1699380, 1699550, 1699550, 1699609, 1699299, 1699305, 1699449, 1699449, 1699690, 1700061, 1700205, 1700614, 1700614, 1700786, 1700878, 1701120, 1701162, 1701162, 1701358, 1701845, 1701865, 1701684, 1701684, 1701569, 1701215, 1701583, 1701634, 1701634, 1701817, 1701930, 1701813, 1701808, 1701808, 1702322, 1702887]
PS-RE-3T:[1709164, 1709354, 1709354, 1709329, 1709190, 1708832, 1708404, 1708404, 1707274, 1707274, 1707285, 1706685, 1706685, 1706621, 1706362, 1705985, 1706306, 1706306, 1706313, 1706358, 1706335, 1706250, 1706250, 1706345, 1706103, 1706021, 1705717, 1705717, 1706068, 1705868, 1705725, 1705450, 1705450, 1705377, 1705237, 1705375, 1705408, 1705408, 1705687, 1706024, 1706011, 1705966, 1705966]
FI-RE-3T:[1720007, 1720526, 1720526, 1721030, 1721254, 1721373, 1721144, 1721144, 1721049, 1721398, 1720873, 1720735, 1720735, 1720568, 1720282, 1720025, 1720137, 1719684, 1719684, 1719602, 1719862, 1719680, 1719680, 1719632, 1719320, 1718743, 1718319, 1718319, 1718060, 1717940, 1717707, 1717538, 1717718, 1717718, 1717050, 1717301, 1717097, 1717097, 1717179, 1717080, 1716990, 1717061, 1717061]
TP-RE-3T:[1690472, 1690472, 1690887, 1691241, 1691216, 1691400, 1691400, 1691539, 1691736, 1691956, 1692137, 1692137, 1692225, 1692362, 1692373, 1692717, 1692717, 1692805, 1692642, 1692856, 1693251, 1693251, 1693271, 1693463, 1692990, 1693052, 1693052, 1693124, 1693436, 1693492, 1693994, 1693994, 1694040, 1694334, 1694358, 1694516, 1694516, 1695008, 1695508, 1695771, 1696137, 1696137, 1696446]
WT-RE-3T:[1708430, 1708453, 1708404, 1708378, 1708378, 1708424, 1708575, 1708560, 1708512, 1708512, 1708500, 1709069, 1709194, 1709390, 1709390, 1709222, 1708704, 1708703, 1708403, 1708403, 1708295, 1708430, 1708449, 1708302, 1708302, 1708602, 1708375, 1708598, 1708699, 1708611, 1708611, 1708832, 1709002, 1709292, 1709292, 1709636, 1709483, 1708932, 1708810, 1708599, 1708599, 1708540, 1708616]
LP-RE-3T:[1718467, 1718951, 1718951, 1718910, 1718412, 1718989, 1719070, 1719070, 1719194, 1720226, 1720685, 1720755, 1720755, 1721522, 1721450, 1721671, 1721511, 1721511, 1721355, 1720942, 1719930, 1719124, 1719124, 1720311, 1720696, 1720958, 1721326, 1721326, 1721583, 1721813, 1722165, 1722359, 1722359, 1722612, 1722728, 1723004, 1722979, 1722979, 1723293, 1723146, 1722957, 1723040, 1723040]
PD-RE-3T:[1710246, 1709140, 1709140, 1709074, 1709074, 1709304, 1709364, 1709352, 1709397, 1709397, 1709921, 1709745, 1709528, 1709772, 1709772, 1709961, 1710001, 1709715, 1709927, 1709927, 1710024, 1709772, 1709123, 1708908, 1708908, 1708819, 1708511, 1708315, 1707867, 1707867, 1707704, 1707962, 1707962, 1707962, 1707961, 1708342, 1708390, 1708337, 1707761, 1707462, 1707462, 1706977, 1706518]
T2-RE-3T:[1700721, 1700384, 1700035, 1700035, 1698988, 1697719, 1697103, 1698277, 1698277, 1700174, 1697759, 1696962, 1697461, 1697461, 1699022, 1700102, 1700694, 1701353, 1701353, 1702637, 1702866, 1703186, 1703445, 1703445, 1703903, 1703901, 1704361, 1704365, 1704365, 1704303, 1704233, 1704153, 1704224, 1704224, 1704411, 1704836, 1705072, 1705017, 1705017, 1705188, 1705044, 1704659, 1704758]
LG-RE-3T:[1712486, 1712961, 1713354, 1713530, 1714162, 1714162, 1714463, 1715040, 1714827, 1714635, 1714635, 1714240, 1714087, 1714337, 1714194, 1714194, 1714049, 1714246, 1714487, 1714547, 1714547, 1715088, 1715065, 1715255, 1715432, 1715432, 1715939, 1716096, 1715805, 1715266, 1715266, 1714854, 1714747, 1714608, 1714846, 1714846, 1714680, 1715039, 1714949, 1715105, 1715105, 1715266, 1715446]
PI-RE-3T:[1700671, 1700641, 1700641, 1700778, 1701085, 1701480, 1702052, 1702052, 1702516, 1702899, 1703556, 1703906, 1703906, 1704004, 1704004, 1703950, 1703521, 1703521, 1703241, 1703241, 1703246, 1703320, 1703320, 1703333, 1703442, 1703659, 1703626, 1703626, 1704243, 1704243, 1704616, 1704808, 1704808, 1705074, 1705565, 1705565, 1705212, 1705212, 1705041, 1704959, 1704734, 1704840, 1704840]
IF-RE-3T:[1711208, 1711208, 1711200, 1711077, 1711132, 1711280, 1711280, 1711355, 1711337, 1711567, 1711797, 1711797, 1712067, 1711942, 1711895, 1712114, 1712114, 1712193, 1712249, 1712408, 1712122, 1712122, 1711938, 1712035, 1712058, 1712058, 1712241, 1712207, 1711923, 1712053, 1712053, 1712044, 1712298, 1712592, 1712858, 1713289, 1713289, 1713562, 1713187, 1713041, 1713041, 1712801, 1712502]
TT-RE-3T:[1719467, 1719678, 1719870, 1720042, 1720273, 1720273, 1720463, 1720727, 1721020, 1721300, 1721300, 1721919, 1722005, 1722185, 1722230, 1722230, 1722233, 1722420, 1722666, 1722720, 1722821, 1722821, 1723081, 1723157, 1723157, 1723157, 1723096, 1723486, 1722920, 1722920, 1722920, 1723080, 1723208, 1723592, 1723761, 1723761, 1723905, 1724069, 1724115, 1724333, 1724333, 1725069, 1725069]
LP-RE-2T:[1727747, 1727747, 1727809, 1727797, 1727879, 1727718, 1727718, 1727746, 1727363, 1727580, 1727508, 1727508, 1727375, 1727111, 1726889, 1726946, 1726946, 1726928, 1726885, 1726552, 1726361, 1726361, 1726552, 1726769, 1726632, 1726839, 1726839, 1726986, 1727248, 1727339, 1727057, 1727057, 1726777, 1726838, 1726754, 1726554, 1726554, 1726358, 1726332, 1726489, 1726611, 1726611, 1726810]
IF-RE-2T:[1718017, 1717739, 1717739, 1717411, 1717272, 1716928, 1716746, 1716746, 1716814, 1716793, 1716868, 1717046, 1716372, 1715825, 1715825, 1715531, 1715035, 1715121, 1715092, 1715092, 1714992, 1715250, 1715141, 1715369, 1715369, 1715629, 1715629, 1716036, 1716219, 1716219, 1716129, 1716128, 1715755, 1715502, 1715502, 1715579, 1715472, 1715157, 1715176, 1715176, 1715025, 1715141, 1715288]
WT-RE-2T:[1712509, 1712411, 1712228, 1712433, 1712591, 1712591, 1712891, 1712821, 1712737, 1712848, 1712848, 1713109, 1712928, 1713099, 1713023, 1713023, 1713320, 1713446, 1713629, 1713556, 1713556, 1713899, 1714113, 1714311, 1714660, 1714660, 1714517, 1714571, 1714661, 1714663, 1714663, 1714636, 1714603, 1714769, 1714749, 1714749, 1714903, 1714880, 1714852, 1715010, 1715010, 1715239, 1715313]
PI-RE-2T:[1724100, 1724123, 1724123, 1724061, 1724163, 1724134, 1724070, 1724070, 1723790, 1723433, 1723134, 1722944, 1722944, 1722992, 1722885, 1722667, 1722638, 1722638, 1722562, 1722691, 1722585, 1722513, 1722513, 1722623, 1722691, 1722704, 1722517, 1722517, 1722048, 1721866, 1721553, 1721291, 1721291, 1721273, 1721191, 1721114, 1721148, 1721148, 1721039, 1720998, 1720971, 1721037, 1721037]
LT-RE-2T:[1709623, 1709674, 1709770, 1709770, 1709880, 1710270, 1710434, 1710090, 1710090, 1709985, 1710026, 1710078, 1710078, 1710078, 1710158, 1710208, 1710432, 1710416, 1710416, 1710457, 1710630, 1710535, 1710484, 1710484, 1710849, 1710753, 1710576, 1710400, 1710400, 1710356, 1710191, 1710241, 1710323, 1710323, 1710392, 1710535, 1710641, 1710974, 1710974, 1711219, 1711372, 1711444, 1711801]
TP-RE-2T:[1721226, 1721335, 1721335, 1721336, 1721332, 1721266, 1721214, 1721214, 1721422, 1721478, 1721071, 1720747, 1720747, 1720925, 1720812, 1720949, 1720958, 1720958, 1720775, 1720854, 1720989, 1721056, 1721056, 1720943, 1721149, 1721315, 1721621, 1721621, 1721503, 1721562, 1721332, 1721447, 1721447, 1721289, 1721354, 1721436, 1721500, 1721500, 1721587, 1721671, 1721800, 1721873, 1721873]
TT-RE-2T:[1727535, 1727396, 1727202, 1727020, 1727024, 1727024, 1727041, 1727029, 1727122, 1727312, 1727312, 1727377, 1727440, 1727683, 1727512, 1727512, 1727469, 1726950, 1726738, 1726609, 1726609, 1726404, 1726310, 1726293, 1726041, 1726041, 1726182, 1725958, 1726198, 1726204, 1726204, 1726469, 1726560, 1726606, 1726687, 1726687, 1726542, 1726189, 1725663, 1725694, 1725694, 1725490, 1725339]
PS-RE-2T:[1717725, 1717602, 1717739, 1717306, 1717186, 1717186, 1717108, 1716679, 1716779, 1716744, 1716744, 1716838, 1716884, 1716744, 1716963, 1716963, 1717247, 1717367, 1717435, 1717715, 1717715, 1717928, 1717972, 1717904, 1717654, 1717654, 1717637, 1717588, 1717692, 1717566, 1717566, 1717483, 1717401, 1717516, 1717477, 1717477, 1717598, 1717729, 1717921, 1718023, 1718023, 1717941, 1718160]
FI-RE-2T:[1720650, 1720905, 1721207, 1721284, 1721284, 1721230, 1721064, 1721246, 1721309, 1721309, 1721258, 1721671, 1721725, 1721769, 1721769, 1721891, 1722130, 1722226, 1722613, 1722613, 1722892, 1723010, 1723559, 1723629, 1723629, 1723668, 1723719, 1723653, 1723230, 1723230, 1723437, 1723309, 1723204, 1723527, 1723527, 1723546, 1723884, 1724093, 1724413, 1724413, 1724420, 1724658, 1725248]
PD-RE-2T:[1731216, 1731791, 1732441, 1733114, 1732629, 1732629, 1732693, 1732662, 1731855, 1731467, 1731253, 1731253, 1730776, 1730810, 1730837, 1730837, 1730524, 1730563, 1730680, 1730625, 1730637, 1730637, 1730827, 1730714, 1730368, 1730368, 1730586, 1729830, 1729344, 1728816, 1728816, 1728753, 1728623, 1728582, 1728727, 1728727, 1728296, 1728392, 1728243, 1728024, 1728024, 1727648, 1727820]
MW-RE-2T:[1715012, 1715161, 1715352, 1715423, 1715423, 1715625, 1715244, 1715176, 1714931, 1714931, 1714536, 1714463, 1714492, 1714152, 1714152, 1714067, 1714016, 1713866, 1714265, 1714265, 1714047, 1714270, 1714638, 1714868, 1714868, 1714733, 1714006, 1714006, 1713641, 1713641, 1713549, 1713283, 1713283, 1713175, 1713175, 1713333, 1713436, 1713308, 1713416, 1713416, 1713337, 1713511, 1713613]
LG-RE-2T:[1719345, 1719178, 1719178, 1719380, 1719384, 1719636, 1719785, 1719785, 1720387, 1720488, 1720808, 1721109, 1721109, 1721451, 1721403, 1720940, 1720632, 1720632, 1720808, 1721158, 1721221, 1721268, 1721268, 1721405, 1721683, 1721635, 1722017, 1722017, 1722224, 1722197, 1722537, 1722773, 1722773, 1723370, 1723434, 1722821, 1722365, 1722365, 1721919, 1721919, 1721809, 1721835, 1721835]
T2-RE-2T:[1715742, 1715899, 1716133, 1716133, 1716341, 1716812, 1717313, 1717281, 1717281, 1717717, 1718525, 1718894, 1718871, 1718871, 1718573, 1718118, 1717404, 1717565, 1717565, 1717513, 1717572, 1718494, 1718911, 1718911, 1719056, 1719703, 1719993, 1720394, 1720394, 1720610, 1720882, 1721061, 1721417, 1721417, 1720984, 1721232, 1721040, 1721217, 1721217, 1721764, 1721970, 1722112, 1722618]
T3-RE-2T:[1713804, 1713955, 1713955, 1714426, 1714496, 1714627, 1714884, 1714884, 1714880, 1714793, 1714738, 1714806, 1714806, 1714497, 1713801, 1713801, 1713804, 1713804, 1713725, 1713938, 1713779, 1713902, 1713902, 1713865, 1713963, 1713919, 1714034, 1714034, 1714482, 1714659, 1714712, 1714376, 1714376, 1713153, 1712598, 1712734, 1713174, 1713174, 1713425, 1713667, 1713805, 1713628, 1713628]
